,Name,Product Page,Image,Price,Rating
31,"Apple iPhone 11, 64GB, Red - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-11-64GB-Red/dp/B07ZPKBL9V/ref=zg_bs_7072561011_sccl_32/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51phteQ42JL._AC_UL300_SR300,200_.jpg",$315.67,4.3
32,"Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)",https://www.amazon.com/Alcatel-Removable-Unlocked-International-5033E/dp/B085TCRFST/ref=zg_bs_7072561011_sccl_33/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/514yvJs9UJL._AC_UL300_SR300,200_.jpg",$44.88,3.8
33,"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 512GB Storage, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023 Phantom Black",https://www.amazon.com/SAMSUNG-Factory-Unlocked-Android-Smartphone/dp/B0BLP57HTN/ref=zg_bs_7072561011_sccl_34/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71Sa3dqTqzL._AC_UL300_SR300,200_.jpg","$1,179.99",4.6
34,"Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-SE-64GB-White/dp/B088NQSLGN/ref=zg_bs_7072561011_sccl_35/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61TcrRQBv0L._AC_UL300_SR300,200_.jpg",$144.45,4.4
35,Samsung Galaxy S20+ 5G 128GB Fully Unlocked Smartphone (Renewed),https://www.amazon.com/Galaxy-S20-5G-Unlocked-Smartphone/dp/B08FRQMW31/ref=zg_bs_7072561011_sccl_36/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61BgDOd6ViL._AC_UL300_SR300,200_.jpg",$234.00,4.3
36,"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-12-Mini-64GB/dp/B08PNN2SKF/ref=zg_bs_7072561011_sccl_37/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/7135f9dGtqL._AC_UL300_SR300,200_.jpg",$319.00,4.3
37,"TCL 30XL |2022| Unlocked Cell Phone, 6.82 inch Vast Display, 5000mAh Battery, Android 12 Smartphone, 50MP Rear+13MP Front Camera, 6GB RAM + 64GB ROM, US Version, Dual Speaker, Night Mist (No 5G)",https://www.amazon.com/TCL-Unlocked-Display-Smartphone-Quad-Camera/dp/B0B11L6YNN/ref=zg_bs_7072561011_sccl_38/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/7189upD5MWL._AC_UL300_SR300,200_.jpg",$149.99,4.0
38,Unlocked Google Pixel 5 128GB Just Black GA01316-US (Renewed),https://www.amazon.com/Unlocked-Google-Pixel-GA01316-US-Renewed/dp/B08MV7HWFK/ref=zg_bs_7072561011_sccl_39/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/516wyv8wYGL._AC_UL300_SR300,200_.jpg",$158.00,4.0
39,"SAMSUNG Galaxy A14 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 64GB w/Expandable Storage, Long Battery Life, 13MP Camera, 6.6"" Infinite Display Screen, US Version, 2023, Black",https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Expandable-Infinite/dp/B0BLW47H3M/ref=zg_bs_7072561011_sccl_40/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/914cXYd0yOL._AC_UL300_SR300,200_.jpg",$199.99,4.0
40,"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB Storage, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Green",https://www.amazon.com/SAMSUNG-Factory-Unlocked-Android-Smartphone/dp/B0BLP3ZZXT/ref=zg_bs_7072561011_sccl_41/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71HtN4qqLZL._AC_UL300_SR300,200_.jpg",$999.99,4.7
41,"Samsung Galaxy A12 (32GB, 3GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&T Unlocked for T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",https://www.amazon.com/Samsung-Galaxy-A12-Unlocked-T-Mobile/dp/B0991J62ZY/ref=zg_bs_7072561011_sccl_42/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81t8kQP6OQL._AC_UL300_SR300,200_.jpg",$119.99,4.0
42,"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Black",https://www.amazon.com/SAMSUNG-Factory-Unlocked-Android-Smartphone/dp/B0BSLR2L5R/ref=zg_bs_7072561011_sccl_43/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61MEp5HIdBL._AC_UL300_SR300,200_.jpg",$399.99,4.1
43,"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=zg_bs_7072561011_sccl_44/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61BUt5ZErdL._AC_UL300_SR300,200_.jpg",$589.15,4.4
44,"Samsung Galaxy S20 Ultra, 128GB, Cosmic Gray - Fully Unlocked (Renewed)",https://www.amazon.com/Samsung-Galaxy-S20-Ultra-Cosmic/dp/B08H7RJLM2/ref=zg_bs_7072561011_sccl_45/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61i9rG1L94S._AC_UL300_SR300,200_.jpg",$298.00,4.2
45,"Samsung Galaxy S20 FE 5G (128GB, 6GB) 6.5"" AMOLED, Snapdragon 865, IP68 Water Resistant, 5G Volte Fully Unlocked (T-Mobile, Verizon, Sprint, AT&T) G781U (Cloud Navy)(Renewed)",https://www.amazon.com/Samsung-Snapdragon-Resistant-Unlocked-T-Mobile/dp/B08Y7ZQQ81/ref=zg_bs_7072561011_sccl_46/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61WeLSi+UiL._AC_UL300_SR300,200_.jpg",$208.00,4.1
46,"Google Pixel 4a Smartphone, 128GB Storage & Unlocked Cellular - Just Black (Renewed)",https://www.amazon.com/Google-Smartphone-Storage-Unlocked-Cellular/dp/B08H85VZNX/ref=zg_bs_7072561011_sccl_47/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61MBRtrVz9L._AC_UL300_SR300,200_.jpg",$138.00,4.0
47,LIVELY Jitterbug Smart3 Smartphone for Seniors,https://www.amazon.com/Jitterbug-Smart3-Smartphone-for-Seniors/dp/B098KF1G4Q/ref=zg_bs_7072561011_sccl_48/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61sRbw9rzeL._AC_UL300_SR300,200_.jpg",3 offers from $66.00$66.00,4.0
48,"Samsung Galaxy S20 Ultra, 128GB, Cosmic Black - Fully Unlocked (Renewed)",https://www.amazon.com/Samsung-Galaxy-Ultra-128GB-Cosmic/dp/B08HH2LBHF/ref=zg_bs_7072561011_sccl_49/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/612IsCbjo5L._AC_UL300_SR300,200_.jpg",$291.50,4.2
49,Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal (Renewed),https://www.amazon.com/Google-Pixel-6a-Smartphone-Megapixel/dp/B0B8W377RV/ref=zg_bs_7072561011_sccl_50/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51+p2QXs81L._AC_UL300_SR300,200_.jpg",$244.00,3.8
